,,MNB,BNB,GNB,DTC,LOGR,KNN,SVCL,SVCLP,SVCR,BAGK,BAGNB,BAGL,BAGD
ALM,black,0.483221,0.536913,0.52349,0.57047,0.61745,0.550336,0.604027,0.590604,0.604027,0.604027,0.483221,0.590604,0.563758
,celery,0.703526,0.383979,0.633435,0.712669,0.697867,0.687418,0.703526,0.707444,0.707444,0.710927,0.703526,0.707444,0.698737
,C python,0.618976,0.629016,0.60492,0.596386,0.61998,0.593373,0.621988,0.612952,0.620482,0.614458,0.618976,0.618474,0.608434
,django-rest-framework,0.682171,0.671835,0.633075,0.648579,0.682171,0.658915,0.682171,0.682171,0.682171,0.674419,0.682171,0.682171,0.658915
,jax,0.618687,0.699495,0.691919,0.666667,0.676768,0.631313,0.666667,0.666667,0.671717,0.686869,0.608586,0.686869,0.674242
,localstack,0.534615,0.501923,0.455769,0.507692,0.519231,0.511538,0.523077,0.521154,0.513462,0.490385,0.534615,0.523077,0.515385
,numpy,0.47551,0.469388,0.536735,0.512245,0.469388,0.485714,0.442857,0.481633,0.465306,0.481633,0.469388,0.444898,0.477551
,open pilot,0.554871,0.503083,0.55857,0.559803,0.590629,0.590629,0.585697,0.562269,0.5709,0.581998,0.598027,0.594328,0.549938
,poetry,0.566038,0.6,0.633962,0.449057,0.622642,0.539623,0.641509,0.615094,0.618868,0.566038,0.562264,0.637736,0.513208
,redash,0.721649,0.713402,0.701031,0.690722,0.721649,0.68866,0.715464,0.721649,0.721649,0.68866,0.713402,0.713402,0.684536
,scrapy,0.546939,0.571429,0.55102,0.55102,0.522449,0.530612,0.55102,0.555102,0.555102,0.522449,0.546939,0.506122,0.526531
,spaCy,0.554438,0.573964,0.530178,0.619527,0.573964,0.618935,0.550888,0.549704,0.570414,0.630178,0.554438,0.556805,0.620118
,transformers,0.616162,0.503367,0.616162,0.594276,0.607744,0.616162,0.604377,0.627946,0.60101,0.622896,0.616162,0.616162,0.621212
,yolov5,0.649231,0.647692,0.456923,0.641538,0.649231,0.596923,0.649231,0.646154,0.649231,0.649231,0.649231,0.649231,0.644615
SIGM,black,0.52349,0.536913,0.590604,0.550336,0.597315,0.590604,0.563758,0.597315,0.597315,0.604027,0.52349,0.536913,0.530201
,celery,0.703526,0.384414,0.63387,0.708315,0.702656,0.687854,0.703526,0.702656,0.702656,0.708751,0.703526,0.702656,0.718328
,C python,0.618976,0.618976,0.613956,0.613454,0.618976,0.606426,0.618976,0.618976,0.619478,0.601406,0.618976,0.618474,0.60492
,django-rest-framework,0.682171,0.669251,0.638243,0.651163,0.682171,0.658915,0.682171,0.671835,0.682171,0.627907,0.682171,0.682171,0.638243
,jax,0.628788,0.699495,0.694444,0.656566,0.689394,0.64899,0.681818,0.689394,0.686869,0.684343,0.608586,0.691919,0.664141
,localstack,0.523077,0.492308,0.469231,0.526923,0.507692,0.542308,0.515385,0.505769,0.494231,0.488462,0.534615,0.509615,0.513462
,numpy,0.495918,0.518367,0.530612,0.522449,0.491837,0.522449,0.526531,0.516327,0.52449,0.52449,0.502041,0.491837,0.518367
,open pilot,0.47349,0.49815,0.548705,0.572133,0.524044,0.573366,0.495684,0.557337,0.554871,0.565968,0.475956,0.524044,0.580764
,poetry,0.562264,0.603774,0.630189,0.471698,0.603774,0.562264,0.622642,0.577358,0.641509,0.581132,0.562264,0.603774,0.49434
,redash,0.713402,0.71134,0.692784,0.678351,0.721649,0.663918,0.713402,0.721649,0.721649,0.694845,0.713402,0.71134,0.649485
,scrapy,0.546939,0.595918,0.522449,0.555102,0.555102,0.583673,0.546939,0.563265,0.559184,0.587755,0.546939,0.546939,0.583673
,spaCy,0.554438,0.574556,0.556213,0.608284,0.571006,0.620118,0.547929,0.547337,0.553846,0.617751,0.554438,0.570414,0.607101
,transformers,0.624579,0.53367,0.606061,0.617845,0.619529,0.624579,0.624579,0.624579,0.599327,0.63468,0.616162,0.612795,0.614478
,yolov5,0.649231,0.647692,0.572308,0.636923,0.649231,0.564615,0.649231,0.649231,0.649231,0.616923,0.649231,0.649231,0.635385
