,,MNB,BNB,GNB,DTC,LOGR,KNN,SVCL,SVCLP,SVCR,BAGK,BAGNB,BAGL,BAGD
ALM,black,0.527447,0.48095,0.579541,0.520043,0.589924,0.560491,0.532954,0.497743,0.598772,0.576562,0.479596,0.586132,0.502528
,celery,0.534557,0.533612,0.614934,0.651862,0.621666,0.584551,0.478808,0.574306,0.563531,0.659089,0.525942,0.619391,0.663344
,C python,0.505754,0.5278,0.509207,0.60541,0.5123,0.579202,0.503078,0.522226,0.551248,0.61355,0.50108,0.503585,0.609345
,django-rest-framework,0.559128,0.495042,0.543191,0.607878,0.548842,0.592126,0.436068,0.461182,0.456362,0.563039,0.541759,0.531535,0.592618
,jax,0.476964,0.626355,0.629795,0.602931,0.642297,0.645496,0.622607,0.604404,0.607643,0.661531,0.473886,0.637358,0.651934
,localstack,0.474315,0.503523,0.455809,0.506778,0.469529,0.528822,0.492546,0.500349,0.512962,0.499249,0.487068,0.455021,0.512753
,numpy,0.489321,0.444789,0.500292,0.49696,0.472278,0.499434,0.475951,0.453302,0.464398,0.478534,0.476409,0.465447,0.498367
,open pilot,0.599545,0.504525,0.595318,0.584244,0.598645,0.609042,0.60389,0.583152,0.594607,0.607038,0.60646,0.601218,0.587795
,poetry,0.440205,0.67765,0.642155,0.449375,0.650341,0.581289,0.642762,0.593699,0.633187,0.613631,0.456058,0.646465,0.534801
,radash,0.465983,0.457853,0.473697,0.55877,0.517591,0.594877,0.454703,0.460827,0.460463,0.577504,0.479353,0.479727,0.559997
,scrapy,0.457678,0.476503,0.494184,0.587401,0.495932,0.50353,0.528607,0.513816,0.453846,0.470922,0.512404,0.484638,0.551735
,spaCy,0.517955,0.593187,0.548855,0.639055,0.587386,0.635588,0.569922,0.475583,0.581194,0.668632,0.512297,0.566112,0.655878
,transformers,0.561931,0.505315,0.592686,0.558713,0.616258,0.617798,0.548977,0.593579,0.537478,0.62926,0.525962,0.589451,0.614796
,yolov5,0.449697,0.469288,0.43948,0.540336,0.448158,0.52617,0.479941,0.475747,0.471122,0.547929,0.458396,0.463114,0.559294
SIGM,black,0.397707,0.5,0.586042,0.511286,0.569791,0.57918,0.512008,0.454225,0.573944,0.609787,0.495305,0.559859,0.552997
,celery,0.524715,0.518196,0.613297,0.65823,0.614534,0.596142,0.513569,0.536214,0.533856,0.666888,0.512055,0.619226,0.673584
,C python,0.477838,0.477371,0.54115,0.630923,0.514821,0.613953,0.487383,0.489277,0.47091,0.577482,0.479424,0.502605,0.595559
,django-rest-framework,0.541143,0.461444,0.537833,0.593296,0.567304,0.612266,0.450665,0.481523,0.490084,0.582209,0.56464,0.538833,0.590155
,jax,0.476429,0.605421,0.632981,0.560688,0.591567,0.614014,0.600723,0.555521,0.576482,0.653407,0.472561,0.581181,0.586561
,localstack,0.45737,0.484913,0.475415,0.560661,0.450205,0.54159,0.497614,0.482468,0.460238,0.515176,0.474954,0.466704,0.529037
,numpy,0.497084,0.502816,0.524482,0.529855,0.512387,0.547173,0.471461,0.490862,0.469062,0.523507,0.493911,0.495369,0.537518
,open pilot,0.481907,0.522995,0.564886,0.588261,0.553051,0.587193,0.50717,0.554106,0.518488,0.603851,0.47578,0.543882,0.599937
,poetry,0.428113,0.636282,0.676579,0.463145,0.669781,0.613139,0.656474,0.596795,0.64227,0.624161,0.442577,0.677766,0.534541
,radash,0.459215,0.484603,0.527769,0.554425,0.55588,0.553894,0.464455,0.519951,0.505656,0.560735,0.462095,0.559685,0.542292
,scrapy,0.452467,0.523598,0.488705,0.527834,0.462418,0.601519,0.469712,0.425945,0.4445,0.553046,0.464502,0.486554,0.593687
,spaCy,0.524485,0.590579,0.559019,0.63509,0.582639,0.637452,0.570864,0.478397,0.581082,0.653379,0.502764,0.564887,0.647249
,transformers,0.576736,0.511085,0.592561,0.583753,0.600925,0.607786,0.599877,0.603675,0.585005,0.629116,0.53957,0.595802,0.614365
,yolov5,0.432215,0.426057,0.443959,0.519191,0.436112,0.522294,0.474495,0.42562,0.423095,0.522398,0.429752,0.419421,0.519389
CCRM,black,1,1,1,1,1,1,1,1,1,0.946009,0.486728,1,0.952871
,celery,1,1,1,1,1,1,1,1,1,0.99997,0.488175,0.990879,0.985776
,C python,1,1,1,1,1,1,1,1,1,0.933423,1,1,0.986069
,django-rest-framework,1,1,1,1,1,1,1,1,1,1,0.480137,1,0.993487
,jax,0.996948,1,1,1,1,1,1,1,1,0.991219,0.450529,1,0.977326
,localstack,1,1,1,1,1,1,1,1,1,1,0.488525,1,0.995154
,numpy,1,1,1,1,1,1,1,1,1,0.998626,1,1,0.977234
,open pilot,1,1,1,1,1,1,1,1,1,0.998267,1,0.999927,0.97498
,poetry,1,1,1,1,1,1,1,1,1,0.999942,0.47732,1,0.990222
,radash,1,1,1,1,1,1,1,1,1,0.999459,1,1,0.998118
,scrapy,1,1,1,1,1,1,1,1,1,0.99916,1,1,0.927592
,spaCy,1,1,1,1,1,1,1,1,1,0.930633,0.460067,1,0.997152
,transformers,1,1,1,1,1,1,1,1,1,0.996351,1,1,0.976554
,yolov5,1,1,1,1,1,1,1,1,1,0.970805,1,1,0.905156
CHI2M,black,0.446732,0.494131,0.57918,0.523835,0.580896,0.511557,0.564193,0.540358,0.568527,0.582972,0.453232,0.555796,0.535663
,celery,0.525561,0.522729,0.598975,0.640311,0.611973,0.623269,0.483948,0.550529,0.560978,0.660175,0.521134,0.613815,0.642698
,C python,0.477933,0.500424,0.492247,0.616109,0.508607,0.591514,0.484866,0.501693,0.513755,0.614618,0.481909,0.500648,0.60964
