,,MNB,BNB,GNB,DTC,LOGR,KNN,SVCL,SVCLP,SVCR,BAGK,BAGNB,BAGL,BAGD
ALM,black,0.34188,0.054795,0.547771,0.384615,0.544,0.517986,0.542636,0.573427,0.468468,0.528,0.34188,0.554745,0.343434
,celery,0,0.461773,0.367868,0.338677,0.069705,0.332714,0,0.127273,0.127273,0.227907,0,0.127273,0.365138
,C python,0.764651,0.765471,0.743732,0.679426,0.763807,0.683099,0.766076,0.758231,0.764925,0.721133,0.764651,0.763975,0.7
,django-rest-framework,0.81106,0.803101,0.742754,0.760563,0.81106,0.773196,0.81106,0.81106,0.81106,0.797428,0.81106,0.81106,0.770833
,jax,0.760697,0.781651,0.790378,0.752809,0.778547,0.705645,0.773196,0.776271,0.776632,0.776173,0.756672,0.786942,0.764168
,localstack,0,0.593407,0.500882,0.399061,0.074074,0.412037,0.060606,0.067416,0.170492,0.479371,0,0.060606,0.4375
,numpy,0.52844,0.419643,0.439506,0.490405,0.514925,0.526316,0.430063,0.524345,0.501901,0.452586,0.528986,0.492537,0.485944
,open pilot,0.534194,0.40648,0.447531,0.520805,0.620137,0.592138,0.618182,0.551201,0.619256,0.578882,0.602439,0.596319,0.538559
,poetry,0.017094,0.664557,0.497409,0.324074,0.519231,0.508065,0.577778,0.420455,0.566524,0.488889,0,0.510204,0.421525
,redash,0.10596,0,0.152047,0.234694,0.10596,0.233503,0.067568,0.10596,0.10596,0.174863,0,0.027972,0.26087
,scrapy,0.697548,0.693878,0.642857,0.54918,0.630915,0.587814,0.696133,0.685879,0.642623,0.600683,0.707124,0.634441,0.557252
,spaCy,0.713361,0.67713,0.600604,0.682155,0.661336,0.660338,0.679341,0.706064,0.642365,0.682902,0.713361,0.681683,0.68835
,transformers,0.155556,0.454713,0.355932,0.424821,0.245955,0.464789,0.208754,0.28013,0.237942,0.394595,0,0.173913,0.441687
,yolov5,0.787313,0.786181,0.539765,0.769535,0.787313,0.719486,0.787313,0.784644,0.787313,0.774257,0.787313,0.787313,0.774634
SIGM,black,0,0.054795,0.616352,0.349515,0.545455,0.487395,0.525547,0.594595,0.565217,0.495726,0,0.439024,0.492754
,celery,0,0.453632,0.368144,0.313525,0.0631,0.316492,0,0.0631,0.0631,0.293559,0,0.0631,0.357498
,C python,0.764651,0.764651,0.759763,0.690514,0.764651,0.693511,0.764651,0.764651,0.76401,0.713771,0.764651,0.764268,0.708626
