,,MNB,BNB,GNB,DTC,LOGR,KNN,SVCL,SVCLP,SVCR,BAGK,BAGNB,BAGL,BAGD
ALM,black,-0.055833,0.122257,0.05495,0.138349,0.23114,0.097049,0.202906,0.179931,0.210427,0.203186,-0.055833,0.177199,0.12582
,celery,0,0.078258,0.109984,0.207333,0.038684,0.156352,0,0.111698,0.111698,0.159781,0,0.111698,0.193714
,C python,0,0.102778,0.016729,0.135261,0.035041,0.1184,0.070056,-0.013323,0.039625,0.125382,0,0.00196,0.142263
,django-rest-framework,0,-0.040739,0.108553,0.116546,0,0.116998,0,0,0,0.079734,0,0,0.12864
,jax,0.112307,0.342919,0.336208,0.267544,0.289252,0.214062,0.261403,0.265619,0.276364,0.311601,0,0.321247,0.28116
,localstack,0,0.046673,-0.073664,-0.005086,-0.051768,0.004619,-0.042874,-0.047481,-0.039218,-0.017415,0,-0.042874,0.016796
,numpy,-0.049354,-0.062794,0.076721,0.024238,-0.061586,-0.028294,-0.114549,-0.036608,-0.06957,-0.037346,-0.062269,-0.111493,-0.044779
,open pilot,0.109825,0.005254,0.126099,0.120553,0.184192,0.181311,0.174698,0.124499,0.147745,0.163965,0.196217,0.188725,0.099813
,poetry,0.069753,0.308545,0.239477,-0.137676,0.219343,0.079394,0.267216,0.195123,0.226474,0.112638,0,0.24822,0.002516
,redash,0.133881,0,0.07033,0.094355,0.133881,0.08962,0.08179,0.133881,0.133881,0.053816,0,0.043038,0.098649
,scrapy,0.021399,0.108613,0.06927,0.112704,-0.001694,0.044941,0.041881,0.060881,0.079888,0.01781,0,-0.056748,0.049113
,spaCy,0,0.107025,0.035073,0.218312,0.114109,0.226587,0.036804,-0.015509,0.114571,0.243585,0,0.05464,0.217762
,transformers,0.065886,0.01982,0.123938,0.116264,0.069694,0.168899,0.048781,0.129232,0.051335,0.150113,0,0.070822,0.165757
,yolov5,0,-0.028853,-0.10972,0.072998,0,0.028332,0,-0.016616,0,0.101544,0,0,0.068634
SIGM,black,0,0.122257,0.193128,0.090041,0.18946,0.176203,0.123096,0.196535,0.191082,0.205958,0,0.062627,0.056019
,celery,0,0.054905,0.110662,0.186738,0.058441,0.147867,0,0.058441,0.058441,0.179151,0,0.058441,0.227676
,C python,0,0,-0.020319,0.175965,0,0.146441,0,0,0.026275,0.089311,0,-0.017583,0.1135
,django-rest-framework,0,-0.051002,0.132643,0.109587,0,0.175632,0,0.041196,0,0.058054,0,0,0.109643
,jax,0.160062,0.342919,0.342719,0.23836,0.323665,0.229182,0.301885,0.342076,0.315103,0.31047,0,0.33143,0.253291
,localstack,-0.100804,-0.03865,-0.052103,0.036645,-0.062951,0.090425,-0.059625,-0.084152,-0.073248,-0.0348,0,-0.052579,0.012593
,numpy,-0.009676,0.045177,0.083159,0.044774,-0.016032,0.044913,0.077178,0.052553,0.065108,0.04956,0.002895,-0.018776,0.036633
,open pilot,-0.053377,-0.00534,0.107643,0.147004,0.048201,0.146744,-0.008547,0.135245,0.111735,0.132679,-0.049679,0.048505,0.163313
,poetry,0.019102,0.314666,0.230712,-0.083843,0.179943,0.10905,0.223243,0.102229,0.267216,0.146664,0,0.169261,-0.031203
,redash,0,-0.02881,0.052761,0.0858,0.133881,0.062319,0,0.133881,0.133881,0.025095,0,0.008154,0.006371
,scrapy,0,0.192223,0.006833,0.096271,0.058298,0.143989,0,0.086978,0.081872,0.149183,0,0.03249,0.150769
,spaCy,0,0.108487,0.085928,0.196532,0.110966,0.2195,0.023356,-0.024273,0.074497,0.214643,0,0.093489,0.189812
,transformers,0.102077,-0.039279,0.108172,0.159402,0.114277,0.189112,0.122324,0.121227,0.05954,0.179033,0,0.085555,0.15057
,yolov5,0,-0.028853,-0.128174,0.062432,0,0.035342,0,0,0,-0.002125,0,0,0.065283
CCRM,black,1,1,1,1,1,1,1,1,1,0.643862,0,0.960351,0.799395
,celery,1,1,1,1,1,1,1,1,1,0.955288,0,0.395428,0.788539
,C python,0.772339,1,1,1,1,1,1,1,1,0.703676,0.206601,1,0.849388
